accession	version	name	theme	subcategory
PF00001	PF00001.27	7tm_1	01_sensory	01.1_photoreception
PF00002	PF00002.30	7tm_2	01_sensory	01.1_photoreception
PF00003	PF00003.29	7tm_3	01_sensory	01.1_photoreception
PF00005	PF00005.34	ABC_tran	09_stress	09.5_pollution
PF00008	PF00008.34	EGF	02_neural	02.5_axon_guidance
PF00010	PF00010.32	HLH	02_neural	02.6_neurodevelopment
PF00012	PF00012.27	HSP70	06_cellular	06.5_secretion_er
PF00017	PF00017.31	SH2	04_signaling	04.2_pi3k_akt_mtor
PF00018	PF00018.35	SH3_1	12_emerging	12.4_cellular_ag_muscle
PF00019	PF00019.26	TGF_beta	07_stemcells	07.3_regeneration
PF00020	PF00020.25	TNFR_c6	05_immunity	05.8_cytokines
PF00023	PF00023.37	Ank	01_sensory	01.3_mechanosensation
PF00026	PF00026.29	Asp	05_immunity	05.3_complement
PF00028	PF00028.24	Cadherin	06_cellular	06.6_ecm_adhesion
PF00029	PF00029.25	Connexin	12_emerging	12.5_cellular_ag_growth
PF00035	PF00035.33	dsrm	10_epigenetics	10.6_rna_editing
PF00036	PF00036.39	EF-hand_1	04_signaling	04.10_calcium
PF00038	PF00038.27	Filament	02_neural	02.7_learning_memory
PF00039	PF00039.25	fn1	03_endocrine	03.4_processing_enzymes
PF00040	PF00040.25	fn2	03_endocrine	03.4_processing_enzymes
PF00041	PF00041.28	fn3	02_neural	02.5_axon_guidance
PF00043	PF00043.31	GST_C	09_stress	09.7_detox
PF00045	PF00045.25	Hemopexin	01_sensory	01.7_proprioception
PF00046	PF00046.36	Homeodomain	02_neural	02.6_neurodevelopment
PF00048	PF00048.26	IL8	05_immunity	05.8_cytokines
PF00052	PF00052.25	Laminin_B	06_cellular	06.6_ecm_adhesion
PF00053	PF00053.31	EGF_laminin	11_mollusc	11.6_chromatophore_ink
PF00054	PF00054.31	Laminin_G_1	06_cellular	06.6_ecm_adhesion
PF00055	PF00055.24	Laminin_N	06_cellular	06.6_ecm_adhesion
PF00059	PF00059.28	Lectin_C	05_immunity	05.4_lectins
PF00060	PF00060.33	Lig_chan	01_sensory	01.2_chemoreception
PF00061	PF00061.30	Lipocalin	11_mollusc	11.5_catch_muscle
PF00062	PF00062.26	Lys	07_stemcells	07.3_regeneration
PF00063	PF00063.28	Myosin_head	12_emerging	12.4_cellular_ag_muscle
PF00066	PF00066.23	Notch	04_signaling	04.7_notch
PF00067	PF00067.28	p450	01_sensory	01.2_chemoreception
PF00069	PF00069.32	Pkinase	02_neural	02.7_learning_memory
PF00071	PF00071.29	Ras	04_signaling	04.15_g_protein
PF00076	PF00076.29	RRM_1	07_stemcells	07.4_germline
PF00080	PF00080.26	Sod_Cu	09_stress	09.6_oxidative
PF00081	PF00081.28	Sod_Fe_N	09_stress	09.6_oxidative
PF00082	PF00082.28	Peptidase_S8	03_endocrine	03.4_processing_enzymes
PF00083	PF00083.31	Sugar_tr	08_metabolism	08.3_glycogen
PF00084	PF00084.27	Sushi	05_immunity	05.3_complement
PF00087	PF00087.28	Toxin_TOLIP	12_emerging	12.6_cellular_ag_lipid
PF00089	PF00089.33	Trypsin	05_immunity	05.3_complement
PF00092	PF00092.35	VWA	05_immunity	05.3_complement
PF00093	PF00093.25	VWC	06_cellular	06.6_ecm_adhesion
PF00094	PF00094.31	VWD	07_stemcells	07.7_reproduction
PF00096	PF00096.33	zf-C2H2	02_neural	02.6_neurodevelopment
PF00100	PF00100.30	Zona_pellucida	07_stemcells	07.7_reproduction
PF00104	PF00104.36	Hormone_recep	03_endocrine	03.2_nhrs
PF00105	PF00105.25	zf-C4	03_endocrine	03.2_nhrs
PF00107	PF00107.33	ADH_zinc_N	06_cellular	06.9_endocytosis
PF00110	PF00110.25	wnt	04_signaling	04.6_wnt
PF00112	PF00112.30	Peptidase_C1	11_mollusc	11.8_radula_teeth
PF00118	PF00118.30	Cpn60_TCP1	09_stress	09.3_thermal
PF00120	PF00120.30	Gln-synt_C	08_metabolism	08.2_amino_acid
PF00121	PF00121.25	TIM	04_signaling	04.2_pi3k_akt_mtor
PF00122	PF00122.26	E1-E2_ATPase	09_stress	09.4_salinity
PF00129	PF00129.24	MHC_I	03_endocrine	03.1_gpcrs
PF00131	PF00131.26	Metallothio	09_stress	09.7_detox
PF00132	PF00132.31	Hexapep	01_sensory	01.3_mechanosensation
PF00134	PF00134.29	Cyclin_N	06_cellular	06.1_cell_cycle
PF00143	PF00143.25	Interferon	02_neural	02.4_synapse
PF00145	PF00145.24	DNA_methylase	09_stress	09.2_acidification
PF00147	PF00147.24	Fibrinogen_C	05_immunity	05.5_freps
PF00149	PF00149.34	Metallophos	02_neural	02.7_learning_memory
PF00155	PF00155.28	Aminotran_1_2	02_neural	02.3_neurotransmitter
PF00156	PF00156.34	Pribosyltran	07_stemcells	07.5_embryogenesis
PF00157	PF00157.24	Pou	07_stemcells	07.1_pluripotency
PF00166	PF00166.27	Cpn10	04_signaling	04.1_mapk
PF00169	PF00169.36	PH	04_signaling	04.3_jak_stat
PF00170	PF00170.27	bZIP_1	09_stress	09.6_oxidative
PF00175	PF00175.27	NAD_binding_1	04_signaling	04.11_no
