Acacri	Acanthochitona_crinita
Acagem	Acanthopleura_gemmata
Acagra	Acanthopleura_granulata
Acaloo	Acanthopleura_loochooana
Achful	Achatina_fulica
Achimm	Achatina_immaculata
Adacol	Adamussium_colbecki
Aegche	Aegista_chejuensis
Aldmod	Alderia_modesta
Alecra	Alexandromenia_crassa
Alibip	Alinda_biplicata
Ambval	Ambigolimax_valentianus
Amphan	Amphioctopus_fangsiao
Ampsp	Amphimeniidae_sp.
Ampsp.	Amphimeniidae_sp.
Amujap	Amusium_japonicum
Amuple	Amusium_pleuronectes
Anabro	Anadara_broughtonii
Anehel	Anentome_helena
Antent	Antalis_entalis
Aphosu	Aphanoconia_osumiense
Aplcal	Aplysia_californica
Aplent	Aplysiopsis_enteromorphae
Aplfas	Aplysia_fasciata
Aplkur	Aplysia_kurodai
Apoeni	Apodomenia_enigmatica
Archdu	Architeuthis_dux
Archma	Archivesica_marissinica
Argirr	Argopecten_irradians
Argope	Argopecten_sp.
Argpur	Argopecten_purpuratus
Arivul	Arion_vulgaris
Batatt	Batillaria_attramentaria
Batazo	Bathymodiolus_azoricus
Bathym	Bathymodiolus_sp.
Batpla	Bathymodiolus_platifrons
Batput	Bathymodiolus_puteoserpentis
Baymid	Bayerotrochus_midas
Berste	Berghia_stephanieae
Biogla	Biomphalaria_glabrata
Biopfe	Biomphalaria_pfeifferi
Bitsia	Bithynia_siamensis_goniomphalos
Brasim	Bradybaena_similaris
Bultru	Bulinus_truncatus
Burlea	Bursatella_leachii
Calloc	Callochiton_sp.
Calsep	Callochiton_septemvalvis
Calsp.	Caliphylla_sp.4
Canuni	Candidula_unifasciata
Carsp.	Carychium_sp.
Celgra	Cellana_grata
Celrad	Cellana_radiata
Cepnem	Cepaea_nemoralis
Cepsp	Cephalopoda_sp
Chaaap	Chaetopleura_apiculata
Chaapi	Chaetopleura_apiculata
Chaenit	Chaetoderma_nitidulum
Chalam	Charonia_lampas
Chanit	Chaetoderma_nitidulum
Chasp	Chaetoderma_sp.
Chatri	Charonia_tritonis
Chical	Chiroteuthis_calyx
Chimar	Chiton_marmoratus
Chioli	Chiton_olivaceus
Chitor	Chicoreus_torrefactus
Chitub	Chiton_tuberculatus
Chlfar	Chlamys_farreri
Cholat	Choneplax_lata
Chrsqu	Chrysomallon_squamiferum
Cliant	Clione_antarctica
Client	Clione_antarctica
Cliret	Clithon_retropictum
Cocjap	Cocculina_japonica
Conbis	Conchocele_bisecta
Conerm	Conus_ermineus
Congeo	Conus_geographus
Conglo	Conus_gloriamaris
Conimp	Conus_imperialis
Conkus	Congeria_kusceri
Conmag	Conus_magus
Conpur	Conus_purpurascens
Conrol	Conus_rolani
Constr	Conus_striatus
Contex	Conus_textile
Conven	Conus_ventricosus
Corasp	Cornu_aspersum
Cosnon	Costasiella_nonatoi
Cosoce	Costasiella_ocellifera
Cossp.	Costasiella_sp.1
Craang	Crassostrea_angulata
Cragig	Crassostrea_gigas
Crahon	Crassostrea_hongkongensis
Cranip	Crassostrea_nippona
Cravir	Crassostrea_virginica
Crenav	Crepidula_navicella
Cripli	Cristaria_plicata
Cryjap	Cryptoplax_japonica
Crylar	Cryptoplax_larvaeformis
Cyeaff	Cyerce_aff._antillensis
Cylbea	Cylindrobulla_beauii
Derret	Deroceras_reticulatum
Dicorb	Dicathais_orbita
Dontod	Dondersia_todtae
Dorpea	Doryteuthis_pealeii
Dortri	Dorymenia_tricarinata
Drepol	Dreissena_polymorpha
Ellchi	Ellobium_chinense
Elychl	Elysia_chlorotica
Elycri	Elysia_crispata
Elyhed	Elysia_hedgpethi
Elymar	Elysia_marginata
Elyruf	Elysia_rufescens
Elytim	Elysia_timida
Elyvel	Elysia_velutinus
Entrum	Entemnotrochus_rumphii
Enttri	Entonomenia_tricarinata
Eoapus	Eoacmaea_pustulata
Epibab	Epimenia_babai
Episp	Epimenia_sp.
Ercboo	Ercolania_boodleae
Eubrus	Eubranchus_rustyus
Eupber	Euprymna_berryi
Euprac	Euprymna_scolopes
Falcau	Falcidens_caudatus
Falsag	Falcidens_sagittiferus
Fisnat	Fissurella_natalensis
Frukur	Fruticicola_kurodana
Gadtol	Gadila_tolmiei
Gibmag	Gibbula_magus
Gigreg	Gigantopelta_aegis
Graebo	Graptacme_eborea
Gympel	Gymnomenia_pellucida
Haldih	Haliotis_discus_hannai
Halrub	Haliotis_rubra
Halruf	Haliotis_rufescens
Hamant	Haminoea_antillarum
Hanhan	Hanleya_hanleyi
Helaeg	Helluoherpia_aegiri
Helluc	Helix_lucorum
Hercra	Hermissenda_crassicornis
Hinbra	Hinea_brasiliana
Hydphy	Hydatina_physis
Hypanj	Hypomenia_sanjuanensis
Hypsan	Hypomenia_sanjuanensis
Idipyg	Idiosepius_pygmaeus
Kalcan	Kalloconus_canariensis
Kattun	Katharina_tunicata
Krubor	Kruppomenia_borealis
Laehya	Laevipilina_hyalina
Lannas	Lanistes_nyassanus
Latell	Laternula_elliptica
Lepase	Leptochiton_asellus
Lepido	Lepidomeniidae
Lepmer	Lepidozona_mertensii
Leprug	Leptochiton_rugatus
Lepsp	Lepidomeniidae_sp.
Limfla	Limacus_flavus
Limmax	Limax_maximus
Liojap	Liolophura_japonica
Litsax	Littorina_saxatilis
Lobnev	Lobiger_nevilli
Lotgig	Lottia_gigantea
Macsch	Macellomenia_schanderi
Marcor	Marisa_cornuarietis
Megbil	Meghimatium_bilineatum
Megfru	Meghimatium_fruhstorferi
Megner	Megalonaias_nervosa
Meisp	Meiomeniidae_sp
Meispe	Meiomeniidae_sp.
Meiswe	Meiomenia_swedmarki
Melleo	Melibe_leonina
Mermer	Mercenaria_mercenaria
Merpet	Meretrix_petechialis
Micfod	Micromenia_fodiens
Mimnob	Mimachlamys_nobilis
Modkur	Modiolus_kurilensis
Modphi	Modiolus_philippinarum
Moncor	Monoplex_corrugatus
Monlab	Monodonta_labio
Mopmus	Mopalia_muscosa
Mousp.	Mourgona_sp.5
Mullat	Mulinia_lateralis
Myaare	Mya_arenaria
Mytcal	Mytilus_californianus
Mytchi	Mytilus_chilensis
Mytcor	Mytilus_coruscus
Mytgal	Mytilus_galloprovincialis
Mytros	Mytilus_trossulus
Myttro	Mytilus_trossulus
Mytvir	Mytilisepta_virgata
Naupom	Nautilus_pompilius
