species_code	species_binomial	ncbi_taxid	phylum	class	subclass	order	family	worms_aphia_id	molluscabase_id	n_proteins	n_transcripts	mean_protein_len	data_source	source_accession	sequencing_type	reference_citation_doi	worms_is_marine
Acacri	Acanthochitona crinita	126420	Mollusca	Polyplacophora	Neoloricata	Chitonida	Acanthochitonidae	138675	138675	57217	57217	259.7	EvidentialGene assembly		transcriptome		1
Acagem	Acanthopleura gemmata	167016	Mollusca	Polyplacophora	Neoloricata	Chitonida	Chitonidae	211919	211919	74901	74901	175.6	EvidentialGene assembly		transcriptome		1
Acagra	Acanthopleura granulata	61363	Mollusca	Polyplacophora	Neoloricata	Chitonida	Chitonidae	386270	386270	0	0						1
Acaloo	Acanthopleura loochooana	167017	Mollusca	Polyplacophora	Neoloricata	Chitonida	Chitonidae	386271	386271	62354	62354	266.4	EvidentialGene assembly		transcriptome		1
Achful	Achatina fulica	2315439	Mollusca	Gastropoda	Heterobranchia	Stylommatophora	Achatinidae	881463	881463	0	0						0
Achimm	Achatina immaculata	2605667	Mollusca	Gastropoda	Heterobranchia	Stylommatophora	Achatinidae	1246505	1246505	0	0						0
Adacol	Adamussium colbecki	95546	Mollusca	Bivalvia	Autobranchia	Pectinida	Pectinidae	197021	197021	63496	63496	240.9	EvidentialGene assembly		transcriptome		1
Aegche	Aegista chejuensis	1399158	Mollusca	Gastropoda	Heterobranchia	Stylommatophora	Camaenidae	1369559	1369559	99083	99083	209.3	EvidentialGene assembly		transcriptome		0
Aldmod	Alderia modesta	369574	Mollusca	Gastropoda	Heterobranchia		Limapontiidae	141555	141555	40794	40794	294.1	EvidentialGene assembly		transcriptome		1
Alecra	Alexandromenia crassa	1638916	Mollusca	Solenogastres		Cavibelonia	Amphimeniidae	138741	138741	27354	27354	256.9	EvidentialGene assembly		transcriptome		1
Alibip	Alinda biplicata	1290020	Mollusca	Gastropoda	Heterobranchia	Stylommatophora	Clausiliidae	1049653	1049653	103007	103007	192.6	EvidentialGene assembly		transcriptome		0
Ambval	Ambigolimax valentianus	1338344	Mollusca	Gastropoda	Heterobranchia	Stylommatophora	Limacidae	819990	819990	65627	65627	203.8	EvidentialGene assembly		transcriptome		0
Amphan	Amphioctopus fangsiao	515817	Mollusca	Cephalopoda	Coleoidea	Octopoda	Octopodidae	534733	534733	0	0						1
Ampsp	Amphimeniidae sp.	3324744	Mollusca	Solenogastres		Cavibelonia	Amphimeniidae	22983	22983	29563	29563	219.0	EvidentialGene assembly		transcriptome		1
Ampsp.	Amphimeniidae sp.	3324744	Mollusca	Solenogastres		Cavibelonia	Amphimeniidae	22983	22983	0	0						1
Amujap	Amusium japonicum	1644149	Mollusca	Bivalvia	Autobranchia	Pectinida	Pectinidae	394347	394347	0	0						1
Amuple	Amusium pleuronectes	158443	Mollusca	Bivalvia	Autobranchia	Pectinida	Pectinidae	215388	215388	0	0						1
Anabro	Anadara broughtonii	148819	Mollusca	Bivalvia	Autobranchia	Arcoida	Arcidae	504357	504357	180175	180175	163.9	EvidentialGene assembly		transcriptome		1
Anehel	Anentome helena	1912881	Mollusca	Gastropoda	Caenogastropoda	Neogastropoda	Nassariidae	1027029	1027029	267928	267928	144.3	EvidentialGene assembly		transcriptome		1
Antent	Antalis entalis	211836	Mollusca	Scaphopoda		Dentaliida	Dentaliidae	150534	150534	66312	66312	125.5	EvidentialGene assembly		transcriptome		1
Aphosu	Aphanoconia osumiense	2950572	Mollusca	Gastropoda	Neritimorpha	Cycloneritida	Helicinidae	1328886	1328886	47680	47680	227.9	EvidentialGene assembly		transcriptome		0
Aplcal	Aplysia californica	6500	Mollusca	Gastropoda	Heterobranchia	Aplysiida	Aplysiidae	240765	240765	0	0						1
Aplent	Aplysiopsis enteromorphae	749931	Mollusca	Gastropoda	Heterobranchia		Limapontiidae	494528	494528	64794	64794	268.7	EvidentialGene assembly		transcriptome		1
Aplfas	Aplysia fasciata	144767	Mollusca	Gastropoda	Heterobranchia	Aplysiida	Aplysiidae	138755	138755	17577	17577	141.0	EvidentialGene assembly		transcriptome		1
Aplkur	Aplysia kurodai	6501	Mollusca	Gastropoda	Heterobranchia	Aplysiida	Aplysiidae	568199	568199	16380	16380	172.3	EvidentialGene assembly		transcriptome		1
Apoeni	Apodomenia enigmatica	2138613	Mollusca	Solenogastres			Apodomeniidae	1347858	1347858	25990	25990	267.1	EvidentialGene assembly		transcriptome		1
Archdu	Architeuthis dux	256136	Mollusca	Cephalopoda	Coleoidea	Oegopsida	Architeuthidae	342218	342218	0	0						1
Archma	Archivesica marissinica	2291877	Mollusca	Bivalvia	Autobranchia	Venerida	Vesicomyidae			0	0						
Argirr	Argopecten irradians	31199	Mollusca	Bivalvia	Autobranchia	Pectinida	Pectinidae	156817	156817	0	0						1
Argope	Argopecten sp.	3111797	Mollusca	Bivalvia	Autobranchia	Pectinida	Pectinidae	156816	156816	186152	186152	198.8	EvidentialGene assembly		transcriptome		1
Argpur	Argopecten purpuratus	228297	Mollusca	Bivalvia	Autobranchia	Pectinida	Pectinidae	394269	394269	0	0						1
Arivul	Arion vulgaris	1028688	Mollusca	Gastropoda	Heterobranchia	Stylommatophora	Arionidae	1049785	1049785	0	0						0
Batatt	Batillaria attramentaria	370345	Mollusca	Gastropoda	Caenogastropoda		Batillariidae	397021	397021	84630	84630	245.8	EvidentialGene assembly		transcriptome		1
Batazo	Bathymodiolus azoricus	150808	Mollusca	Bivalvia	Autobranchia	Mytilida	Modiolidae	140436	140436	21671	21671	389.0	EvidentialGene assembly		transcriptome		1
Bathym	Bathymodiolus sp.	91706	Mollusca	Bivalvia	Autobranchia	Mytilida	Modiolidae	138214	138214	60128	60128	258.4	EvidentialGene assembly		transcriptome		1
Batpla	Bathymodiolus platifrons	2830794	Mollusca	Bivalvia	Autobranchia	Mytilida	Modiolidae	505970	505970	0	0						1
Batput	Bathymodiolus puteoserpentis	91705	Mollusca	Bivalvia	Autobranchia	Mytilida	Modiolidae	505967	505967	60551	60551	267.3	EvidentialGene assembly		transcriptome		1
Baymid	Bayerotrochus midas	702825	Mollusca	Gastropoda	Vetigastropoda	Pleurotomariida	Pleurotomariidae	413447	413447	43358	43358	170.0	EvidentialGene assembly		transcriptome		1
Berste	Berghia stephanieae	1287507	Mollusca	Gastropoda	Heterobranchia	Nudibranchia	Aeolidiidae	730410	730410	86026	86026	335.7	EvidentialGene assembly		transcriptome		1
Biogla	Biomphalaria glabrata	6526	Mollusca	Gastropoda	Heterobranchia		Planorbidae	848622	848622	0	0						1
Biopfe	Biomphalaria pfeifferi	112525	Mollusca	Gastropoda	Heterobranchia		Planorbidae	1058681	1058681	0	0						1
Bitsia	Bithynia siamensis goniomphalos	3245987	Mollusca	Gastropoda	Caenogastropoda	Littorinimorpha	Bithyniidae	1259346	1259346	66793	66793	233.8	EvidentialGene assembly		transcriptome		1
Brasim	Bradybaena similaris	145626	Mollusca	Gastropoda	Heterobranchia	Stylommatophora	Camaenidae	875284	875284	129338	129338	197.7	EvidentialGene assembly		transcriptome		0
Bultru	Bulinus truncatus	55810	Mollusca	Gastropoda	Heterobranchia		Planorbidae	716338	716338	0	0						1
Burlea	Bursatella leachii	6508	Mollusca	Gastropoda	Heterobranchia	Aplysiida	Aplysiidae	138759	138759	15710	15710	142.7	EvidentialGene assembly		transcriptome		1
Calloc	Callochiton sp.	256137	Mollusca	Polyplacophora	Neoloricata	Chitonida	Callochitonidae	138085	138085	17792	17792	136.0	EvidentialGene assembly		transcriptome		1
Calsep	Callochiton septemvalvis	256138	Mollusca	Polyplacophora	Neoloricata	Chitonida	Callochitonidae	140132	140132	73056	73056	253.5	EvidentialGene assembly		transcriptome		1
Calsp.	Caliphylla sp.4	749954	Mollusca	Gastropoda	Heterobranchia		Caliphyllidae			0	0						
Canuni	Candidula unifasciata	100452	Mollusca	Gastropoda	Heterobranchia	Stylommatophora	Geomitridae	426356	426356	0	0						0
Carsp.	Carychium sp.	145634	Mollusca	Gastropoda	Heterobranchia	Ellobiida	Ellobiidae	738075	738075	0	0						0
Celgra	Cellana grata	157699	Mollusca	Gastropoda	Patellogastropoda		Nacellidae	325450	325450	33401	33401	380.2	EvidentialGene assembly		transcriptome		1
Celrad	Cellana radiata	351208	Mollusca	Gastropoda	Patellogastropoda		Nacellidae	207651	207651	35073	35073	249.8	EvidentialGene assembly		transcriptome		1
Cepnem	Cepaea nemoralis	28835	Mollusca	Gastropoda	Heterobranchia	Stylommatophora	Helicidae	235792	235792	0	0						0
Cepsp	Cephalopoda sp	2952870	Mollusca	Cephalopoda				11707	11707	156248	156248	146.4	EvidentialGene assembly		transcriptome		1
Chaaap	Chaetopleura apiculata	58794	Mollusca	Polyplacophora	Neoloricata	Chitonida	Chaetopleuridae	848051	848051	0	0						1
Chaapi	Chaetopleura apiculata	58794	Mollusca	Polyplacophora	Neoloricata	Chitonida	Chaetopleuridae	848051	848051	28768	28768	233.4	EvidentialGene assembly		transcriptome		1
Chaenit	Chaetoderma nitidulum	256131	Mollusca	Caudofoveata		Chaetodermatida	Chaetodermatidae	139106	139106	0	0						1
Chalam	Charonia lampas	500097	Mollusca	Gastropoda	Caenogastropoda	Littorinimorpha	Ranellidae	141101	141101	129427	129427	188.0	EvidentialGene assembly		transcriptome		1
Chanit	Chaetoderma nitidulum	256131	Mollusca	Caudofoveata		Chaetodermatida	Chaetodermatidae	139106	139106	36233	36233	209.9	EvidentialGene assembly		transcriptome		1
Chasp	Chaetoderma sp.	53690	Mollusca	Caudofoveata		Chaetodermatida	Chaetodermatidae			0	0						
Chatri	Charonia tritonis	1960912	Mollusca	Gastropoda	Caenogastropoda	Littorinimorpha	Ranellidae	141102	141102	183700	183700	171.9	EvidentialGene assembly		transcriptome		1
Chical	Chiroteuthis calyx	559536	Mollusca	Cephalopoda	Coleoidea	Oegopsida	Chiroteuthidae	341796	341796	22637	22637	236.1	EvidentialGene assembly		transcriptome		1
Chimar	Chiton marmoratus	2732483	Mollusca	Polyplacophora	Neoloricata	Chitonida	Chitonidae	386780	386780	10577	10577	161.2	EvidentialGene assembly		transcriptome		1
Chioli	Chiton olivaceus	256108	Mollusca	Polyplacophora	Neoloricata	Chitonida	Chitonidae			67102	67102	170.9	EvidentialGene assembly		transcriptome		
Chitor	Chicoreus torrefactus	693199	Mollusca	Gastropoda	Caenogastropoda	Neogastropoda	Muricidae	208137	208137	127772	127772	166.0	EvidentialGene assembly		transcriptome		1
Chitub	Chiton tuberculatus	1539881	Mollusca	Polyplacophora	Neoloricata	Chitonida	Chitonidae			26784	26784	250.4	EvidentialGene assembly		transcriptome		
Chlfar	Chlamys farreri	106299	Mollusca	Bivalvia	Autobranchia	Pectinida	Pectinidae	1468835	1468835	0	0						1
Cholat	Choneplax lata	1355511	Mollusca	Polyplacophora	Neoloricata	Chitonida	Acanthochitonidae	386532	386532	42408	42408	114.2	EvidentialGene assembly		transcriptome		1
Chrsqu	Chrysomallon squamiferum	216257	Mollusca	Gastropoda	Neomphalina	Neomphalida	Peltospiridae	736932	736932	0	0						1
Cliant	Clione antarctica	672780	Mollusca	Gastropoda	Heterobranchia	Pteropoda	Clionidae	714164	714164	24407	24407	246.9	EvidentialGene assembly		transcriptome		1
Client	Clione antarctica	672780	Mollusca	Gastropoda	Heterobranchia	Pteropoda	Clionidae	714164	714164	0	0						1
Cliret	Clithon retropictum	2094009	Mollusca	Gastropoda	Neritimorpha	Cycloneritida	Neritidae	737538	737538	120029	120029	231.6	EvidentialGene assembly		transcriptome		1
Cocjap	Cocculina japonica	2905118	Mollusca	Gastropoda	Cocculiniformia		Cocculinidae	556949	556949	36690	36690	164.6	EvidentialGene assembly		transcriptome		1
Conbis	Conchocele bisecta	1803738	Mollusca	Bivalvia	Autobranchia	Lucinida	Thyasiridae	420805	420805	0	0						1
Conerm	Conus ermineus	55423	Mollusca	Gastropoda	Caenogastropoda	Neogastropoda	Conidae	215538	215538	45681	45681	164.4	EvidentialGene assembly		transcriptome		1
Congeo	Conus geographus	6491	Mollusca	Gastropoda	Caenogastropoda	Neogastropoda	Conidae	215499	215499	86200	86200	167.8	EvidentialGene assembly		transcriptome		1
Conglo	Conus gloriamaris	37336	Mollusca	Gastropoda	Caenogastropoda	Neogastropoda	Conidae			129921	129921	140.5	EvidentialGene assembly		transcriptome		
Conimp	Conus imperialis	35631	Mollusca	Gastropoda	Caenogastropoda	Neogastropoda	Conidae	215501	215501	100437	100437	148.3	EvidentialGene assembly		transcriptome		1
Conkus	Congeria kusceri	152013	Mollusca	Bivalvia	Autobranchia	Myida	Dreissenidae	505315	505315	162103	162103	194.1	EvidentialGene assembly		transcriptome		1
Conmag	Conus magus	6492	Mollusca	Gastropoda	Caenogastropoda	Neogastropoda	Conidae	215429	215429	67957	67957	174.5	EvidentialGene assembly		transcriptome		1
Conpur	Conus purpurascens	41690	Mollusca	Gastropoda	Caenogastropoda	Neogastropoda	Conidae	428255	428255	91803	91803	192.7	EvidentialGene assembly		transcriptome		1
Conrol	Conus rolani	745791	Mollusca	Gastropoda	Caenogastropoda	Neogastropoda	Conidae	428267	428267	95442	95442	170.9	EvidentialGene assembly		transcriptome		1
Constr	Conus striatus	6493	Mollusca	Gastropoda	Caenogastropoda	Neogastropoda	Conidae	215466	215466	93228	93228	178.2	EvidentialGene assembly		transcriptome		1
Contex	Conus textile	6494	Mollusca	Gastropoda	Caenogastropoda	Neogastropoda	Conidae	215529	215529	80920	80920	161.8	EvidentialGene assembly		transcriptome		1
Conven	Conus ventricosus	117992	Mollusca	Gastropoda	Caenogastropoda	Neogastropoda	Conidae	428401	428401	0	0						1
Corasp	Cornu aspersum	6535	Mollusca	Gastropoda	Heterobranchia	Stylommatophora	Helicidae	820000	820000	174327	174327	152.3	EvidentialGene assembly		transcriptome		0
Cosnon	Costasiella nonatoi	698695	Mollusca	Gastropoda	Heterobranchia		Costasiellidae	420580	420580	91577	91577	271.4	EvidentialGene assembly		transcriptome		1
Cosoce	Costasiella ocellifera	380564	Mollusca	Gastropoda	Heterobranchia		Costasiellidae	420581	420581	70706	70706	314.7	EvidentialGene assembly		transcriptome		1
Cossp.	Costasiella sp.1	380552	Mollusca	Gastropoda	Heterobranchia		Costasiellidae			0	0						
Craang	Crassostrea angulata	2784310	Mollusca	Bivalvia	Autobranchia	Ostreida	Ostreidae	146900	146900	0	0						1
Cragig	Crassostrea gigas	29159	Mollusca	Bivalvia	Autobranchia	Ostreida	Ostreidae	140656	140656	0	0						1
Crahon	Crassostrea hongkongensis	2653900	Mollusca	Bivalvia	Autobranchia	Ostreida	Ostreidae	388247	388247	0	0						1
Cranip	Crassostrea nippona	6564	Mollusca	Bivalvia	Autobranchia	Ostreida	Ostreidae	506708	506708	0	0						1
Cravir	Crassostrea virginica	6565	Mollusca	Bivalvia	Autobranchia	Ostreida	Ostreidae	140657	140657	0	0						1
Crenav	Crepidula navicella	1707815	Mollusca	Gastropoda	Caenogastropoda	Littorinimorpha	Calyptraeidae	828960	828960	48773	48773	159.6	EvidentialGene assembly		transcriptome		1
Cripli	Cristaria plicata	165446	Mollusca	Bivalvia	Autobranchia	Unionida	Unionidae	1026038	1026038	85303	85303	269.6	EvidentialGene assembly		transcriptome		1
Cryjap	Cryptoplax japonica	211840	Mollusca	Polyplacophora	Neoloricata	Chitonida	Cryptoplacidae	386456	386456	41241	41241	120.5	EvidentialGene assembly		transcriptome		1
Crylar	Cryptoplax larvaeformis	2732484	Mollusca	Polyplacophora	Neoloricata	Chitonida	Cryptoplacidae	220212	220212	39437	39437	218.2	EvidentialGene assembly		transcriptome		1
Cyeaff	Cyerce aff. antillensis	259547	Mollusca	Gastropoda	Heterobranchia		Caliphyllidae	494335	494335	0	0						1
