pfam_accession	pfam_version	pfam_name	pfam_short_name	pfam_description	theme_id	theme	subcategory_id	subcategory	hmm_name	hmm_file	hmm_length	n_seed_sequences	effn	source
PF00001	PF00001.27	7tm_1	7 transmembrane receptor (rhodopsin family)		01_sensory	Sensory perception	01.1_photoreception	Photoreception	7tm_1_REV	hmm/per_domain/7tm_1_REVISION.hmm	264	44007	20.404486	TIAMMAt mollusc-revised
PF00002	PF00002.30	7tm_2	7 transmembrane receptor (Secretin family)		01_sensory	Sensory perception	01.1_photoreception	Photoreception	7tm_2_REV	hmm/per_domain/7tm_2_REVISION.hmm	236	8948	9.203356	TIAMMAt mollusc-revised
PF00003	PF00003.29	7tm_3	7 transmembrane sweet-taste receptor of 3 GCPR		01_sensory	Sensory perception	01.1_photoreception	Photoreception	7tm_3_REV	hmm/per_domain/7tm_3_REVISION.hmm	253	4123	11.548282	TIAMMAt mollusc-revised
PF15677	PF15677.11	CEND1	Cell cycle exit and neuronal differentiation protein 1		01_sensory	Sensory perception	01.1_photoreception	Photoreception	CEND1_REV	hmm/per_domain/CEND1_REVISION.hmm	145	12	1.766602	TIAMMAt mollusc-revised
PF01122	PF01122.26	Cobalamin_bind	Eukaryotic cobalamin-binding protein		01_sensory	Sensory perception	01.1_photoreception	Photoreception	Cobalamin_bind_REV	hmm/per_domain/Cobalamin_bind_REVISION.hmm	303	120	4.515381	TIAMMAt mollusc-revised
PF00241	PF00241.26	Cofilin_ADF	Cofilin/tropomyosin-type actin-binding protein		01_sensory	Sensory perception	01.1_photoreception	Photoreception	Cofilin_ADF_REV	hmm/per_domain/Cofilin_ADF_REVISION.hmm	131	4231	8.921376	TIAMMAt mollusc-revised
PF01287	PF01287.27	eIF-5a	Eukaryotic elongation factor 5A hypusine, DNA-binding OB fold		01_sensory	Sensory perception	01.1_photoreception	Photoreception	eIF-5a_REV	hmm/per_domain/eIF-5a_REVISION.hmm	69	1040	6.764221	TIAMMAt mollusc-revised
PF00612	PF00612.34	IQ	IQ calmodulin-binding motif		01_sensory	Sensory perception	01.1_photoreception	Photoreception	IQ_REV	hmm/per_domain/IQ_REVISION.hmm	19	10373	10373.000000	TIAMMAt mollusc-revised
PF02949	PF02949.26	7tm_6	7tm Odorant receptor		01_sensory	Sensory perception	01.2_chemoreception	Chemoreception	7tm_6_REV	hmm/per_domain/7tm_6_REVISION.hmm	313	411	14.471169	TIAMMAt mollusc-revised
PF08395	PF08395.18	7tm_7	7tm Chemosensory receptor		01_sensory	Sensory perception	01.2_chemoreception	Chemoreception	7tm_7_REV	hmm/per_domain/7tm_7_REVISION.hmm	369	570	35.394516	TIAMMAt mollusc-revised
PF01094	PF01094.35	ANF_receptor	Receptor family ligand binding region		01_sensory	Sensory perception	01.2_chemoreception	Chemoreception	ANF_receptor_REV	hmm/per_domain/ANF_receptor_REVISION.hmm	360	10837	30.325382	TIAMMAt mollusc-revised
PF00060	PF00060.33	Lig_chan	Ligand-gated ion channel		01_sensory	Sensory perception	01.2_chemoreception	Chemoreception	Lig_chan_REV	hmm/per_domain/Lig_chan_REVISION.hmm	268	4201	16.526340	TIAMMAt mollusc-revised
PF10613	PF10613.15	Lig_chan-Glu_bd	Ligated ion channel L-glutamate- and glycine-binding site		01_sensory	Sensory perception	01.2_chemoreception	Chemoreception	Lig_chan-Glu_bd_REV	hmm/per_domain/Lig_chan-Glu_bd_REVISION.hmm	112	3880	5.058250	TIAMMAt mollusc-revised
PF03392	PF03392.19	OS-D	Insect pheromone-binding family, A10/OS-D		01_sensory	Sensory perception	01.2_chemoreception	Chemoreception	OS-D_REV	hmm/per_domain/OS-D_REVISION.hmm	92	334	1.862747	TIAMMAt mollusc-revised
PF00067	PF00067.28	p450	Cytochrome P450		01_sensory	Sensory perception	01.2_chemoreception	Chemoreception	p450_REV	hmm/per_domain/p450_REVISION.hmm	458	27712	15.120247	TIAMMAt mollusc-revised
PF01395	PF01395.28	PBP_GOBP	PBP/GOBP family		01_sensory	Sensory perception	01.2_chemoreception	Chemoreception	PBP_GOBP_REV	hmm/per_domain/PBP_GOBP_REVISION.hmm	112	486	7.093185	TIAMMAt mollusc-revised
PF05296	PF05296.20	TAS2R	Taste receptor protein (TAS2R)		01_sensory	Sensory perception	01.2_chemoreception	Chemoreception	TAS2R_REV	hmm/per_domain/TAS2R_REVISION.hmm	302	50	6.430054	TIAMMAt mollusc-revised
PF06151	PF06151.19	Trehalose_recp	Trehalose receptor		01_sensory	Sensory perception	01.2_chemoreception	Chemoreception	Trehalose_recp_REV	hmm/per_domain/Trehalose_recp_REVISION.hmm	403	69	8.005920	TIAMMAt mollusc-revised
PF00023	PF00023.37	Ank	Ankyrin repeat		01_sensory	Sensory perception	01.3_mechanosensation	Mechanosensation	Ank_REV	hmm/per_domain/Ank_REVISION.hmm	33	24851	601.982788	TIAMMAt mollusc-revised
PF01036	PF01036.25	Bac_rhodopsin	Bacteriorhodopsin-like protein		01_sensory	Sensory perception	01.3_mechanosensation	Mechanosensation	Bac_rhodopsin_REV	hmm/per_domain/Bac_rhodopsin_REVISION.hmm	214	152	7.741943	TIAMMAt mollusc-revised
PF28452	PF28452.1	BIVM	Basic immunoglobulin-like variable motif-containing protein		01_sensory	Sensory perception	01.3_mechanosensation	Mechanosensation	BIVM_REV	hmm/per_domain/BIVM_REVISION.hmm	230	243	1.583267	TIAMMAt mollusc-revised
PF00132	PF00132.31	Hexapep	Bacterial transferase hexapeptide (six repeats)		01_sensory	Sensory perception	01.3_mechanosensation	Mechanosensation	Hexapep_REV	hmm/per_domain/Hexapep_REVISION.hmm	34	766	766.000000	TIAMMAt mollusc-revised
PF12929	PF12929.13	Mid1	Stretch-activated Ca2+-permeable channel component		01_sensory	Sensory perception	01.3_mechanosensation	Mechanosensation	Mid1_REV	hmm/per_domain/Mid1_REVISION.hmm	442	177	2.811539	TIAMMAt mollusc-revised
PF25288	PF25288.2	PIEZO	Piezo-type mechanosensitive ion channel homolog domain		01_sensory	Sensory perception	01.3_mechanosensation	Mechanosensation	PIEZO_REV	hmm/per_domain/PIEZO_REVISION.hmm	130	57	1.304626	TIAMMAt mollusc-revised
PF12166	PF12166.15	Piezo_cap	Piezo non-specific cation channel, cap domain		01_sensory	Sensory perception	01.3_mechanosensation	Mechanosensation	Piezo_cap_REV	hmm/per_domain/Piezo_cap_REVISION.hmm	291	559	5.693550	TIAMMAt mollusc-revised
PF11601	PF11601.14	Shal-type	Shal-type voltage-gated potassium channels, N-terminal		01_sensory	Sensory perception	01.3_mechanosensation	Mechanosensation	Shal-type_REV	hmm/per_domain/Shal-type_REVISION.hmm	27	151	9.792328	TIAMMAt mollusc-revised
PF06011	PF06011.18	TRP	Transient receptor potential (TRP) ion channel		01_sensory	Sensory perception	01.3_mechanosensation	Mechanosensation	TRP_REV	hmm/per_domain/TRP_REVISION.hmm	444	331	9.578575	TIAMMAt mollusc-revised
PF08344	PF08344.17	TRP_2	Transient receptor ion channel II		01_sensory	Sensory perception	01.3_mechanosensation	Mechanosensation	TRP_2_REV	hmm/per_domain/TRP_2_REVISION.hmm	63	878	2.515327	TIAMMAt mollusc-revised
PF04384	PF04384.19	Fe-S_assembly	Iron-sulphur cluster assembly		01_sensory	Sensory perception	01.4_magnetoreception	Magnetoreception	Fe-S_assembly_REV	hmm/per_domain/Fe-S_assembly_REVISION.hmm	63	63	1.949524	TIAMMAt mollusc-revised
PF13510	PF13510.12	Fer2_4	2Fe-2S iron-sulfur cluster binding domain		01_sensory	Sensory perception	01.4_magnetoreception	Magnetoreception	Fer2_4_REV	hmm/per_domain/Fer2_4_REVISION.hmm	76	422	5.347763	TIAMMAt mollusc-revised
PF00210	PF00210.31	Ferritin	Ferritin-like domain		01_sensory	Sensory perception	01.4_magnetoreception	Magnetoreception	Ferritin_REV	hmm/per_domain/Ferritin_REVISION.hmm	141	2967	7.806733	TIAMMAt mollusc-revised
PF13794	PF13794.13	Ferritin_fold-like	Ferritin-like domain, actinomycetes		01_sensory	Sensory perception	01.4_magnetoreception	Magnetoreception	Ferritin_fold-like_REV	hmm/per_domain/Ferritin_fold-like_REVISION.hmm	180	10	1.069336	TIAMMAt mollusc-revised
PF13186	PF13186.12	SPASM	Iron-sulfur cluster-binding domain		01_sensory	Sensory perception	01.4_magnetoreception	Magnetoreception	SPASM_REV	hmm/per_domain/SPASM_REVISION.hmm	67	155	7.459564	TIAMMAt mollusc-revised
PF06241	PF06241.18	Castor_Poll_mid	Castor and Pollux, part of voltage-gated ion channel		01_sensory	Sensory perception	01.5_thermoreception	Thermoreception	Castor_Poll_mid_REV	hmm/per_domain/Castor_Poll_mid_REVISION.hmm	97	28	2.225098	TIAMMAt mollusc-revised
PF16869	PF16869.11	CNDH2_M	Condensin II complex subunit CAP-H2 or CNDH2, mid domain		01_sensory	Sensory perception	01.5_thermoreception	Thermoreception	CNDH2_M_REV	hmm/per_domain/CNDH2_M_REVISION.hmm	122	170	4.801483	TIAMMAt mollusc-revised
PF06018	PF06018.21	CodY	CodY GAF-like domain		01_sensory	Sensory perception	01.5_thermoreception	Thermoreception	CodY_REV	hmm/per_domain/CodY_REVISION.hmm	177	19	1.229248	TIAMMAt mollusc-revised
PF13352	PF13352.12	DUF4100	Protein of unknown function (DUF4100)		01_sensory	Sensory perception	01.5_thermoreception	Thermoreception	DUF4100_REV	hmm/per_domain/DUF4100_REVISION.hmm	234	47	3.611633	TIAMMAt mollusc-revised
PF12154	PF12154.13	HCMVantigenic_N	Glycoprotein B N-terminal antigenic domain of HCMV		01_sensory	Sensory perception	01.5_thermoreception	Thermoreception	HCMVantigenic_N_REV	hmm/per_domain/HCMVantigenic_N_REVISION.hmm	36	3	1.995117	TIAMMAt mollusc-revised
PF00520	PF00520.38	Ion_trans	Ion transport protein		01_sensory	Sensory perception	01.5_thermoreception	Thermoreception	Ion_trans_REV	hmm/per_domain/Ion_trans_REVISION.hmm	240	18969	19.731937	TIAMMAt mollusc-revised
PF07885	PF07885.23	Ion_trans_2	Ion channel		01_sensory	Sensory perception	01.5_thermoreception	Thermoreception	Ion_trans_2_REV	hmm/per_domain/Ion_trans_2_REVISION.hmm	79	5089	10.381099	TIAMMAt mollusc-revised
PF02060	PF02060.21	ISK_Channel	Slow voltage-gated potassium channel		01_sensory	Sensory perception	01.5_thermoreception	Thermoreception	ISK_Channel_REV	hmm/per_domain/ISK_Channel_REVISION.hmm	125	109	4.567169	TIAMMAt mollusc-revised
PF03520	PF03520.20	KCNQ_channel	KCNQ voltage-gated potassium channel		01_sensory	Sensory perception	01.5_thermoreception	Thermoreception	KCNQ_channel_REV	hmm/per_domain/KCNQ_channel_REVISION.hmm	161	329	1.523613	TIAMMAt mollusc-revised
PF03521	PF03521.20	Kv2channel	Kv2 voltage-gated K+ channel		01_sensory	Sensory perception	01.5_thermoreception	Thermoreception	Kv2channel_REV	hmm/per_domain/Kv2channel_REVISION.hmm	288	7	1.083496	TIAMMAt mollusc-revised
